Sample	Tercile	Covered	Uncovered
R_GR_in_01d_1	10	57890	16356
R_GR_in_01d_1	20	60595	13651
R_GR_in_01d_1	30	61864	12382
R_GR_in_01d_1	40	62693	11553
R_GR_in_01d_1	50	63206	11040
R_GR_in_01d_1	60	63565	10681
R_GR_in_01d_1	70	63954	10292
R_GR_in_01d_1	80	64130	10116
R_GR_in_01d_1	90	64286	9960
R_GR_in_01d_1	0	74246	0
R_GR_in_01d_2	10	57183	17063
R_GR_in_01d_2	20	60036	14210
R_GR_in_01d_2	30	61508	12738
R_GR_in_01d_2	40	61969	12277
R_GR_in_01d_2	50	62562	11684
R_GR_in_01d_2	60	62915	11331
R_GR_in_01d_2	70	63249	10997
R_GR_in_01d_2	80	63441	10805
R_GR_in_01d_2	90	63590	10656
R_GR_in_01d_2	0	74246	0
R_GR_in_01d_3	10	56280	17966
R_GR_in_01d_3	20	59542	14704
R_GR_in_01d_3	30	61194	13052
R_GR_in_01d_3	40	62094	12152
R_GR_in_01d_3	50	62516	11730
R_GR_in_01d_3	60	63008	11238
R_GR_in_01d_3	70	63326	10920
R_GR_in_01d_3	80	63681	10565
R_GR_in_01d_3	90	63828	10418
R_GR_in_01d_3	0	74246	0
R_GR_un_01d_1	10	53710	20536
R_GR_un_01d_1	20	56644	17602
R_GR_un_01d_1	30	57927	16319
R_GR_un_01d_1	40	58584	15662
R_GR_un_01d_1	50	58917	15329
R_GR_un_01d_1	60	59337	14909
R_GR_un_01d_1	70	59636	14610
R_GR_un_01d_1	80	59865	14381
R_GR_un_01d_1	90	60015	14231
R_GR_un_01d_1	0	74246	0
R_GR_un_01d_2	10	54844	19402
R_GR_un_01d_2	20	58697	15549
R_GR_un_01d_2	30	60065	14181
R_GR_un_01d_2	40	61150	13096
R_GR_un_01d_2	50	61666	12580
R_GR_un_01d_2	60	62260	11986
R_GR_un_01d_2	70	62534	11712
R_GR_un_01d_2	80	62982	11264
R_GR_un_01d_2	90	63180	11066
R_GR_un_01d_2	0	74246	0
R_GR_un_01d_3	10	56597	17649
R_GR_un_01d_3	20	59785	14461
R_GR_un_01d_3	30	61208	13038
R_GR_un_01d_3	40	62076	12170
R_GR_un_01d_3	50	62611	11635
R_GR_un_01d_3	60	62956	11290
R_GR_un_01d_3	70	63238	11008
R_GR_un_01d_3	80	63468	10778
R_GR_un_01d_3	90	63653	10593
R_GR_un_01d_3	0	74246	0
R_GR_in_02d_1	10	52006	22240
R_GR_in_02d_1	20	56817	17429
R_GR_in_02d_1	30	58863	15383
R_GR_in_02d_1	40	60085	14161
R_GR_in_02d_1	50	60889	13357
R_GR_in_02d_1	60	61693	12553
R_GR_in_02d_1	70	62206	12040
R_GR_in_02d_1	80	62603	11643
R_GR_in_02d_1	90	62869	11377
R_GR_in_02d_1	0	74246	0
R_GR_in_02d_2	10	52935	21311
R_GR_in_02d_2	20	57460	16786
R_GR_in_02d_2	30	59347	14899
R_GR_in_02d_2	40	60551	13695
R_GR_in_02d_2	50	61236	13010
R_GR_in_02d_2	60	61923	12323
R_GR_in_02d_2	70	62418	11828
R_GR_in_02d_2	80	62737	11509
R_GR_in_02d_2	90	63035	11211
R_GR_in_02d_2	0	74246	0
R_GR_in_02d_3	10	56127	18119
R_GR_in_02d_3	20	59714	14532
R_GR_in_02d_3	30	61248	12998
R_GR_in_02d_3	40	62247	11999
R_GR_in_02d_3	50	62883	11363
R_GR_in_02d_3	60	63292	10954
R_GR_in_02d_3	70	63688	10558
R_GR_in_02d_3	80	64081	10165
R_GR_in_02d_3	90	64230	10016
R_GR_in_02d_3	0	74246	0
R_GR_un_02d_1	10	53772	20474
R_GR_un_02d_1	20	57833	16413
R_GR_un_02d_1	30	59580	14666
R_GR_un_02d_1	40	60553	13693
R_GR_un_02d_1	50	61268	12978
R_GR_un_02d_1	60	61732	12514
R_GR_un_02d_1	70	62007	12239
R_GR_un_02d_1	80	62354	11892
R_GR_un_02d_1	90	62701	11545
R_GR_un_02d_1	0	74246	0
R_GR_un_02d_2	10	54464	19782
R_GR_un_02d_2	20	58489	15757
R_GR_un_02d_2	30	60169	14077
R_GR_un_02d_2	40	61215	13031
R_GR_un_02d_2	50	61789	12457
R_GR_un_02d_2	60	62363	11883
R_GR_un_02d_2	70	62671	11575
R_GR_un_02d_2	80	62997	11249
R_GR_un_02d_2	90	63287	10959
R_GR_un_02d_2	0	74246	0
R_GR_un_02d_3	10	52289	21957
R_GR_un_02d_3	20	56978	17268
R_GR_un_02d_3	30	58896	15350
R_GR_un_02d_3	40	59985	14261
R_GR_un_02d_3	50	60886	13360
R_GR_un_02d_3	60	61365	12881
R_GR_un_02d_3	70	61801	12445
R_GR_un_02d_3	80	62178	12068
R_GR_un_02d_3	90	62513	11733
R_GR_un_02d_3	0	74246	0
R_GR_in_04d_1	10	53180	21066
R_GR_in_04d_1	20	56401	17845
R_GR_in_04d_1	30	57801	16445
R_GR_in_04d_1	40	58493	15753
R_GR_in_04d_1	50	59003	15243
R_GR_in_04d_1	60	59275	14971
R_GR_in_04d_1	70	59493	14753
R_GR_in_04d_1	80	59620	14626
R_GR_in_04d_1	90	59787	14459
R_GR_in_04d_1	0	74246	0
R_GR_in_04d_2	10	53611	20635
R_GR_in_04d_2	20	57760	16486
R_GR_in_04d_2	30	59220	15026
R_GR_in_04d_2	40	60069	14177
R_GR_in_04d_2	50	60755	13491
R_GR_in_04d_2	60	61279	12967
R_GR_in_04d_2	70	61519	12727
R_GR_in_04d_2	80	61791	12455
R_GR_in_04d_2	90	61959	12287
R_GR_in_04d_2	0	74246	0
R_GR_in_04d_3	10	53234	21012
R_GR_in_04d_3	20	57156	17090
R_GR_in_04d_3	30	58874	15372
R_GR_in_04d_3	40	59729	14517
R_GR_in_04d_3	50	60501	13745
R_GR_in_04d_3	60	60813	13433
R_GR_in_04d_3	70	61085	13161
R_GR_in_04d_3	80	61431	12815
R_GR_in_04d_3	90	61636	12610
R_GR_in_04d_3	0	74246	0
R_GR_un_04d_1	10	17348	56898
R_GR_un_04d_1	20	18247	55999
R_GR_un_04d_1	30	18822	55424
R_GR_un_04d_1	40	19023	55223
R_GR_un_04d_1	50	19338	54908
R_GR_un_04d_1	60	19687	54559
R_GR_un_04d_1	70	19834	54412
R_GR_un_04d_1	80	20121	54125
R_GR_un_04d_1	90	20250	53996
R_GR_un_04d_1	0	74246	0
R_GR_un_04d_2	10	51797	22449
R_GR_un_04d_2	20	55969	18277
R_GR_un_04d_2	30	57799	16447
R_GR_un_04d_2	40	58638	15608
R_GR_un_04d_2	50	59181	15065
R_GR_un_04d_2	60	59480	14766
R_GR_un_04d_2	70	59771	14475
R_GR_un_04d_2	80	60128	14118
R_GR_un_04d_2	90	60295	13951
R_GR_un_04d_2	0	74246	0
R_GR_un_04d_3	10	46004	28242
R_GR_un_04d_3	20	48409	25837
R_GR_un_04d_3	30	49183	25063
R_GR_un_04d_3	40	49715	24531
R_GR_un_04d_3	50	49892	24354
R_GR_un_04d_3	60	50008	24238
R_GR_un_04d_3	70	50201	24045
R_GR_un_04d_3	80	50251	23995
R_GR_un_04d_3	90	50344	23902
R_GR_un_04d_3	0	74246	0
R_GR_in_07d_1	10	50896	23350
R_GR_in_07d_1	20	55427	18819
R_GR_in_07d_1	30	57353	16893
R_GR_in_07d_1	40	58237	16009
R_GR_in_07d_1	50	58916	15330
R_GR_in_07d_1	60	59268	14978
R_GR_in_07d_1	70	59626	14620
R_GR_in_07d_1	80	59898	14348
R_GR_in_07d_1	90	60035	14211
R_GR_in_07d_1	0	74246	0
R_GR_in_07d_2	10	49469	24777
R_GR_in_07d_2	20	52394	21852
R_GR_in_07d_2	30	53455	20791
R_GR_in_07d_2	40	53933	20313
R_GR_in_07d_2	50	54278	19968
R_GR_in_07d_2	60	54474	19772
R_GR_in_07d_2	70	54720	19526
