Sample	Region	Bins	Density
SRR1944912	5-UTR	1	0.0
SRR1944912	5-UTR	2	0.0
SRR1944912	5-UTR	3	1.0672409026866851e-05
SRR1944912	5-UTR	4	0.00029349124823883845
SRR1944912	5-UTR	5	0.011880525728708178
SRR1944912	5-UTR	6	0.02455828041172331
SRR1944912	5-UTR	7	0.03490091199965998
SRR1944912	5-UTR	8	0.04136092118362248
SRR1944912	5-UTR	9	0.061641700057377555
SRR1944912	5-UTR	10	0.2059828304230437
SRR1944912	CDS	11	0.6886203551227209
SRR1944912	CDS	12	0.8467192259914506
SRR1944912	CDS	13	0.9065975060810124
SRR1944912	CDS	14	0.869340869467953
SRR1944912	CDS	15	0.8512259683170007
SRR1944912	CDS	16	0.8384325925265722
SRR1944912	CDS	17	0.6679479295667852
SRR1944912	CDS	18	0.7297176990170905
SRR1944912	CDS	19	0.7202629498063945
SRR1944912	CDS	20	0.696132471065927
SRR1944912	CDS	21	0.6034772496818355
SRR1944912	CDS	22	0.682389014058116
SRR1944912	CDS	23	0.6680315561037259
SRR1944912	CDS	24	0.658470020547244
SRR1944912	CDS	25	0.6414603081094049
SRR1944912	CDS	26	0.6799220693564074
SRR1944912	CDS	27	0.6500574124968755
SRR1944912	CDS	28	0.6227219405416831
SRR1944912	CDS	29	0.6682596343777607
SRR1944912	CDS	30	0.6389509813781489
SRR1944912	CDS	31	0.5597026199940371
SRR1944912	CDS	32	0.6439469958551576
SRR1944912	CDS	33	0.6437727902711746
SRR1944912	CDS	34	0.6216941357306108
SRR1944912	CDS	35	0.6322288556400244
SRR1944912	CDS	36	0.657003763968098
SRR1944912	CDS	37	0.6048697205501521
SRR1944912	CDS	38	0.5960433283288353
SRR1944912	CDS	39	0.6253660771740206
SRR1944912	CDS	40	0.6059361427090341
SRR1944912	CDS	41	0.5956568310844008
SRR1944912	CDS	42	0.6237672241064303
SRR1944912	CDS	43	0.609588348267872
SRR1944912	CDS	44	0.5934483167782515
SRR1944912	CDS	45	0.5772159298992315
SRR1944912	CDS	46	0.5936294805963408
SRR1944912	CDS	47	0.5992384287732427
SRR1944912	CDS	48	0.5319618238598408
SRR1944912	CDS	49	0.6152408329107978
SRR1944912	CDS	50	0.5480163025649224
SRR1944912	CDS	51	0.5233678322864681
SRR1944912	CDS	52	0.570700441108662
SRR1944912	CDS	53	0.5904908649514099
SRR1944912	CDS	54	0.637663505380078
SRR1944912	CDS	55	0.5461064091131815
SRR1944912	CDS	56	0.5797000495613465
SRR1944912	CDS	57	0.5465710900842543
SRR1944912	CDS	58	0.5816900400374673
SRR1944912	CDS	59	0.5585475657200073
SRR1944912	CDS	60	0.613397454240462
SRR1944912	CDS	61	0.5771987836400412
SRR1944912	CDS	62	0.5637615822793554
SRR1944912	CDS	63	0.5316571173588696
SRR1944912	CDS	64	0.5314645555991667
SRR1944912	CDS	65	0.5408222127610216
SRR1944912	CDS	66	0.5915893023359203
SRR1944912	CDS	67	0.5949770449088954
SRR1944912	CDS	68	0.5224882569071654
SRR1944912	CDS	69	0.5430749355596912
SRR1944912	CDS	70	0.5780371638021427
SRR1944912	CDS	71	0.544565377370785
SRR1944912	CDS	72	0.5621992255413748
SRR1944912	CDS	73	0.5385313142310147
SRR1944912	CDS	74	0.5925167807087429
SRR1944912	CDS	75	0.5916160841365291
SRR1944912	CDS	76	0.5808174915635339
SRR1944912	CDS	77	0.551197324741491
SRR1944912	CDS	78	0.5624071690148236
SRR1944912	CDS	79	0.48550853539083527
SRR1944912	CDS	80	0.5425994076806164
SRR1944912	CDS	81	0.513727851769
SRR1944912	CDS	82	0.5197107788076522
SRR1944912	CDS	83	0.5115073824854107
SRR1944912	CDS	84	0.5094237945481934
SRR1944912	CDS	85	0.5606632770490896
SRR1944912	CDS	86	0.43492683369434004
SRR1944912	CDS	87	0.5267712226903929
SRR1944912	CDS	88	0.5342660388410869
SRR1944912	CDS	89	0.4918805867408923
SRR1944912	CDS	90	0.539662994916927
SRR1944912	CDS	91	0.4900209099463508
SRR1944912	CDS	92	0.44660821361428577
SRR1944912	CDS	93	0.44769879259696094
SRR1944912	CDS	94	0.4984145804862146
SRR1944912	CDS	95	0.5140973855598422
SRR1944912	CDS	96	0.5114392495330374
SRR1944912	CDS	97	0.5411104027617268
SRR1944912	CDS	98	0.4858358641885482
SRR1944912	CDS	99	0.49832478258006374
SRR1944912	CDS	100	0.5297388837524308
SRR1944912	CDS	101	0.5187913198030798
SRR1944912	CDS	102	0.4682003666128832
SRR1944912	CDS	103	0.4616824610124387
SRR1944912	CDS	104	0.44431196857972444
SRR1944912	CDS	105	0.4653976879103198
SRR1944912	CDS	106	0.4820534026152031
SRR1944912	CDS	107	0.42793775357220837
SRR1944912	CDS	108	0.46738592450314437
SRR1944912	CDS	109	0.4865350167658207
SRR1944912	CDS	110	0.5094539575180719
SRR1944912	CDS	111	0.42405603646375384
SRR1944912	CDS	112	0.5103740776440616
SRR1944912	CDS	113	0.470578848630207
SRR1944912	CDS	114	0.5284570850913874
SRR1944912	CDS	115	0.47050396671551414
SRR1944912	CDS	116	0.43904553166102844
SRR1944912	CDS	117	0.48816000841333607
SRR1944912	CDS	118	0.5241144756930788
SRR1944912	CDS	119	0.5250193935274681
SRR1944912	CDS	120	0.48841292467139763
SRR1944912	CDS	121	0.48596429215691483
SRR1944912	CDS	122	0.48064523944382964
SRR1944912	CDS	123	0.4407678772270962
SRR1944912	CDS	124	0.49520705608359733
SRR1944912	CDS	125	0.4846246132387966
SRR1944912	CDS	126	0.47152452319823823
SRR1944912	CDS	127	0.4635658720593243
SRR1944912	CDS	128	0.44878289347080313
SRR1944912	CDS	129	0.46113864006912325
SRR1944912	CDS	130	0.4589061271913027
SRR1944912	CDS	131	0.4337347448992495
SRR1944912	CDS	132	0.5052233245828469
SRR1944912	CDS	133	0.48494643614471394
SRR1944912	CDS	134	0.4224225204924065
SRR1944912	CDS	135	0.43776600083543976
SRR1944912	CDS	136	0.5117356358978286
SRR1944912	CDS	137	0.43048375151172935
SRR1944912	CDS	138	0.5182209090244084
SRR1944912	CDS	139	0.46231025904314765
SRR1944912	CDS	140	0.4012554324667047
SRR1944912	CDS	141	0.4885246256902266
SRR1944912	CDS	142	0.4629197114987924
SRR1944912	CDS	143	0.4429929258211787
SRR1944912	CDS	144	0.4683905037143374
SRR1944912	CDS	145	0.46622430806688997
SRR1944912	CDS	146	0.5210766830124559
SRR1944912	CDS	147	0.4850186446444532
SRR1944912	CDS	148	0.4338334012029833
SRR1944912	CDS	149	0.4506194923515279
SRR1944912	CDS	150	0.43274452431634636
SRR1944912	CDS	151	0.44777535082843595
SRR1944912	CDS	152	0.45105235315150294
