SRR1944914_f0	SRR1944914_f1	SRR1944914_f2	frame
33.33333333333333	16.666666666666664	50.0	frame2
36.36363636363637	18.181818181818183	45.45454545454545	frame2
33.33333333333333	16.666666666666664	50.0	frame2
33.33333333333333	25.0	41.66666666666667	fuzzy
33.33333333333333	16.666666666666664	50.0	frame2
0.0	100.0	0.0	frame1
50.0	33.33333333333333	16.666666666666664	frame0
0.0	100.0	0.0	frame1
33.33333333333333	33.33333333333333	33.33333333333333	fuzzy
0.0	0.0	100.0	frame2
0.0	66.66666666666666	33.33333333333333	frame1
54.5974025974026	21.714285714285715	23.68831168831169	frame0
0.0	25.0	75.0	frame2
40.0	13.333333333333334	46.666666666666664	frame2
75.0	25.0	0.0	frame0
20.0	40.0	40.0	fuzzy
			fuzzy
54.0	18.0	28.000000000000004	frame0
48.421052631578945	22.105263157894736	29.47368421052631	frame0
58.333333333333336	19.696969696969695	21.96969696969697	frame0
49.48248972068623	22.11352143295997	28.403988846353794	frame0
50.95849482360562	21.73772238646929	27.303782789925098	frame0
51.56993339676499	20.742150333016173	27.68791627021884	frame0
59.32835820895522	19.029850746268657	21.641791044776117	frame0
65.07936507936508	12.698412698412698	22.22222222222222	frame0
43.02325581395349	26.744186046511626	30.23255813953488	fuzzy
56.75675675675676	19.81981981981982	23.423423423423422	frame0
49.972032665846285	21.221613155833985	28.806354178319722	frame0
45.714285714285715	22.380952380952383	31.9047619047619	frame0
54.268292682926834	16.463414634146343	29.268292682926827	frame0
57.291666666666664	16.666666666666664	26.041666666666668	frame0
50.98700048146365	19.884448724121327	29.12855079441502	frame0
48.34905660377358	21.22641509433962	30.424528301886795	frame0
0.0	100.0	0.0	frame1
51.790281329923275	17.135549872122763	31.074168797953966	frame0
55.88235294117647	15.686274509803921	28.431372549019606	frame0
48.58536585365854	21.853658536585368	29.560975609756095	frame0
49.08350305498982	19.75560081466395	31.160896130346234	frame0
51.27241179872759	18.99942163100058	29.728166570271835	frame0
49.31506849315068	22.602739726027394	28.08219178082192	frame0
48.21802935010482	21.90775681341719	29.874213836477985	frame0
52.05882352941177	19.705882352941178	28.235294117647058	frame0
50.72463768115942	26.08695652173913	23.18840579710145	frame0
52.17391304347826	13.043478260869565	34.78260869565217	frame0
52.43243243243243	19.45945945945946	28.10810810810811	frame0
55.24691358024691	17.901234567901234	26.851851851851855	frame0
58.333333333333336	15.972222222222221	25.694444444444443	frame0
53.09734513274337	21.238938053097346	25.663716814159294	frame0
57.798165137614674	15.137614678899084	27.06422018348624	frame0
42.30769230769231	20.51282051282051	37.17948717948718	fuzzy
51.03213699272813	20.5137227304715	28.454140276800377	frame0
52.82890252215405	18.064076346284935	29.107021131561005	frame0
50.0	28.57142857142857	21.428571428571427	frame0
50.15601702003855	22.600283667309164	27.243699312652293	frame0
44.230769230769226	20.673076923076923	35.09615384615385	fuzzy
56.25	16.666666666666664	27.083333333333332	frame0
54.26695842450766	15.317286652078774	30.41575492341357	frame0
52.071005917159766	19.00887573964497	28.920118343195266	frame0
52.05761316872428	19.34156378600823	28.600823045267486	frame0
48.808664259927795	21.155234657039713	30.03610108303249	frame0
51.41509433962265	19.339622641509436	29.245283018867923	frame0
53.153153153153156	13.513513513513514	33.33333333333333	frame0
50.69444444444444	28.47222222222222	20.833333333333336	frame0
54.96828752642706	22.832980972515855	22.198731501057082	frame0
53.31230283911672	16.7192429022082	29.96845425867508	frame0
51.865671641791046	20.8955223880597	27.238805970149254	frame0
55.55555555555556	22.22222222222222	22.22222222222222	frame0
36.708860759493675	21.518987341772153	41.77215189873418	fuzzy
49.28571428571429	24.285714285714285	26.42857142857143	frame0
50.27027027027027	21.08108108108108	28.64864864864865	frame0
49.693251533742334	20.858895705521473	29.447852760736197	frame0
50.74135090609555	19.769357495881383	29.489291598023065	frame0
52.12765957446809	24.46808510638298	23.404255319148938	frame0
37.735849056603776	28.30188679245283	33.9622641509434	fuzzy
22.22222222222222	50.0	27.77777777777778	frame1
			fuzzy
100.0	0.0	0.0	frame0
49.72004479283314	19.148936170212767	31.13101903695409	frame0
56.96969696969697	21.21212121212121	21.818181818181817	frame0
52.75	19.666666666666664	27.583333333333332	frame0
55.55555555555556	11.851851851851853	32.592592592592595	frame0
20.0	30.0	50.0	frame2
100.0	0.0	0.0	frame0
51.546391752577314	20.618556701030926	27.835051546391753	frame0
50.50761421319797	23.011844331641285	26.480541455160743	frame0
53.90625	20.3125	25.78125	frame0
51.02040816326531	15.306122448979592	33.6734693877551	frame0
			fuzzy
60.0	20.0	20.0	frame0
57.407407407407405	17.40740740740741	25.185185185185183	frame0
49.41860465116279	19.767441860465116	30.813953488372093	frame0
0.0	100.0	0.0	frame1
