Gene	wt_te_YPD1	wt_te_YPD2	wt_te_YPD3	ncs2d_te_YPD1	ncs2d_te_YPD2	ncs2d_te_YPD3
CCW22	0.237433720263686	0.224858216829333	0.267844610494158	0.190753116767992	0.179019915876957	0.200636618283677
COX1	0.853658536585366	13.875	1.38181818181818	3.57692307692308	6.75	0.66
FLO8	0.0891891891891892	0.0982839313572543	0.0669029685423128	0.0985454545454545	0.116814159292035	0.115803814713896
NM_001178148.1	0.303897385298471	0.366890380313199	0.354941551540914	0.345628415300546	0.284841075794621	0.350423330197554
NM_001178149.1	0.125283446712018	0.151658767772512	0.166666666666667	0.125523012552301	0.122119815668203	0.172233136869679
NM_001178150.1	0.814596780312078	0.746029948764401	0.781179857998233	0.966246334514145	0.880069557024289	0.812311165926013
NM_001178151.1	6.48650548975066	4.98265317023663	4.62089060178306	4.88282314373297	5.91753744219753	5.43354918675537
NM_001178152.1	0.436918236245248	0.489445676274945	0.506346578366446	0.485032902874672	0.456514115377871	0.394972161295765
NM_001178153.1	0.569740451572062	0.544414947927302	0.753273427471117	0.737966804979253	0.601992570077676	0.591007134561142
NM_001178154.1	0.156904660111159	0.186528497409326	0.127546296296296	0.176605028049034	0.148535936113576	0.190404797601199
NM_001178155.2	0.238924838227974	0.293669402110199	0.227367325702393	0.259887005649718	0.256443298969072	0.21678891605542
NM_001178156.1	0.247648902821317	0.241879350348028	0.24986793449551	0.300451321727917	0.194681384846964	0.217522658610272
NM_001178157.1	1.12634881485646	0.962840153676928	0.987798809053936	0.838800458613142	1.03069008958567	1.0680799695732
NM_001178158.2	0.366719660837308	0.335820895522388	0.357315436241611	0.398820804379869	0.31070549630845	0.424938104884087
NM_001178159.1	0.198847687989363	0.209422011084719	0.23234556980687	0.204052417134677	0.18938127090301	0.211988487047929
NM_001178160.1	0.198952879581152	0.196861626248217	0.231678486997636	0.222375690607735	0.197641948495191	0.214263174502998
NM_001178161.1	0.721596474045054	0.75780443244102	0.76980111653873	0.769097462914183	0.764454116793616	0.768426799781608
NM_001178162.2	0.409304756926294	0.426257952573742	0.428280773143438	0.375536480686695	0.334632034632035	0.447299423177766
NM_001178164.1	0.594432141727302	0.732486388384755	0.636178170690241	0.648164464023495	0.572332233223322	0.603294249022892
NM_001178165.2	0.168595763267089	0.154455043637102	0.174027214132251	0.176129779837775	0.185047138785354	0.298529411764706
NM_001178166.1	0.984149448061138	1.18155893536122	0.831003811944092	0.733333333333333	0.849394550958628	1.16995544239338
NM_001178167.1	0.327681279294183	0.368040798980026	0.349285088999125	0.350197628458498	0.32094842336837	0.373278432486156
NM_001178168.1	0.481774698993897	0.484794348126193	0.508127148495523	0.430447665572195	0.441245101924008	0.611356570119457
NM_001178169.1	0.355820105820106	0.438518518518519	0.273684210526316	0.369988545246277	0.368357487922705	0.397385620915033
NM_001178170.2	0.758273886095194	0.739244851258581	0.729362985299661	0.804175175856592	0.575121797894075	0.541746974018965
NM_001178171.2	0.532986805277889	0.623019571295433	0.530604437643458	0.524261603375527	0.454932576295245	0.57108239095315
NM_001178172.1	0.196178343949045	0.293654955427373	0.249362786745964	0.243423635649784	0.209248934076746	0.188459177409454
NM_001178173.1	0.168131868131868	0.175033921302578	0.138421733505821	0.15995115995116	0.131487889273356	0.238461538461538
NM_001178174.1	0.321024617431803	0.380675626589175	0.266876805883898	0.261652542372881	0.285396383866481	0.325293753865182
NM_001178175.1	0.537909972115257	0.730167083278516	0.593765401675702	0.651361650711033	0.662643144537295	0.649311531841652
NM_001178176.1	0.173570836785418	0.207674943566591	0.22926162260711	0.205438066465257	0.219512195121951	0.279697113109323
NM_001178177.1	0.431578947368421	0.446239273094397	0.346752058554437	0.417617526243724	0.375384615384615	0.439148936170213
NM_001178178.1	0.35047258979206	0.28579730357973	0.300847457627119	0.315705128205128	0.305644644002566	0.307157958320749
NM_001178179.1	0.3104	0.351841028638223	0.371139809096014	0.368009621166566	0.306005221932115	0.176639344262295
NM_001178180.1	1.58450752161187	1.48521004225702	1.31083409926471	1.66049529705917	1.50495495495495	1.21541859951403
NM_001178181.1	0.51280475312436	0.506933359936153	0.516474936234449	0.613095718087251	0.631645921978765	0.652253986856975
NM_001178182.1	0.066429418742586	0.0604890604890605	0.11258865248227	0.0456062291434928	0.0455635491606715	0.0159211523881729
NM_001178183.1	1.41126529867692	1.21302852833635	1.3011463869595	1.16184576403658	1.48800327526207	1.40701737109544
