	WT_mrna_YPD1	WT_mrna_YPD2	WT_mrna_YPD3	ncs2d_mrna_YPD1	ncs2d_mrna_YPD2	ncs2d_mrna_YPD3	elp6d_mrna_YPD1	elp6d_mrna_YPD2	elp6d_mrna_YPD3	ncs2d_elp6d_mrna_YPD1	ncs2d_elp6d_mrna_YPD2	ncs2d_elp6d_mrna_YPD3
WT_mrna_YPD1	1.0	0.9393795466898132	0.9010982509821909	0.9086625567535163	0.9440471329369938	0.8879721652786289	0.8890344404056968	0.8849827690530366	0.9055989728256219	0.8997779855166894	0.8737671208899117	0.8945240380618227
WT_mrna_YPD2	0.9393795466898132	1.0	0.8553759307618644	0.8642696031928815	0.9115709831290228	0.8385315846612502	0.8379893716508883	0.8341827061860972	0.843245125523547	0.8549585368468811	0.8252731414108273	0.8449322622261418
WT_mrna_YPD3	0.9010982509821909	0.8553759307618644	1.0	0.942488593087878	0.9357532358248366	0.9482023036204935	0.952588157652952	0.9452631878425575	0.9352915565554848	0.930862932467298	0.9160360683253003	0.9564450680371381
ncs2d_mrna_YPD1	0.9086625567535163	0.8642696031928815	0.942488593087878	1.0	0.9393056984275828	0.9311462780514933	0.9408770768536304	0.9409344359717718	0.9434151870160395	0.931840461952409	0.9350001549732555	0.9460875091177922
ncs2d_mrna_YPD2	0.9440471329369938	0.9115709831290228	0.9357532358248366	0.9393056984275828	1.0	0.9225443520289044	0.9254172330565501	0.9209803510314184	0.9285475024956963	0.9323000907170751	0.9086423042069216	0.9347864925736682
ncs2d_mrna_YPD3	0.8879721652786289	0.8385315846612502	0.9482023036204935	0.9311462780514933	0.9225443520289044	1.0	0.9393701674186763	0.935789314313742	0.9348872904921661	0.9159232907985331	0.9078869525339105	0.945765989150216
elp6d_mrna_YPD1	0.8890344404056968	0.8379893716508883	0.952588157652952	0.9408770768536304	0.9254172330565501	0.9393701674186763	1.0	0.9439660445224977	0.9412007118417506	0.9277607243535919	0.9226390868073251	0.952486347652034
elp6d_mrna_YPD2	0.8849827690530366	0.8341827061860972	0.9452631878425575	0.9409344359717718	0.9209803510314184	0.935789314313742	0.9439660445224977	1.0	0.9421551020007054	0.9241388998358244	0.9255997762166602	0.9486563145980195
elp6d_mrna_YPD3	0.9055989728256219	0.843245125523547	0.9352915565554848	0.9434151870160395	0.9285475024956963	0.9348872904921661	0.9412007118417506	0.9421551020007054	1.0	0.934160417135959	0.9394705081575774	0.9486816285455698
ncs2d_elp6d_mrna_YPD1	0.8997779855166894	0.8549585368468811	0.930862932467298	0.931840461952409	0.9323000907170751	0.9159232907985331	0.9277607243535919	0.9241388998358244	0.934160417135959	1.0	0.9409327478120446	0.9443669678003778
ncs2d_elp6d_mrna_YPD2	0.8737671208899117	0.8252731414108273	0.9160360683253003	0.9350001549732555	0.9086423042069216	0.9078869525339105	0.9226390868073251	0.9255997762166602	0.9394705081575774	0.9409327478120446	1.0	0.9403443953394527
ncs2d_elp6d_mrna_YPD3	0.8945240380618227	0.8449322622261418	0.9564450680371381	0.9460875091177922	0.9347864925736682	0.945765989150216	0.952486347652034	0.9486563145980195	0.9486816285455698	0.9443669678003778	0.9403443953394527	1.0
